OBJECTID_1,PIN,ZONE_DISTR,ZONE_TYPE_,DATE,PHOTOGRAPH,VACANT_ABA,GRADE_RUBR,STRUCTURE_,STRUCTURAL,BUILDING_E,BRICK,COMMERCIAL,TWO_STORIE,STONE,PUBLIC_GOV,RESIDENTIA,BARS_ON_WI,BASEMENT_W,SIDING,MULTI_FAMI,ATTACHMENT,SINGLE_FAM,CONCRETE_S,OBSTRUCTED,WOOD,REVIEWED,NEIGHBORHO,COUNCIL_DI,CENSUS_TRA,LANDBANK,HHF,ADDRESS,RESIDENT_1,PARKING_LO,DUMPING_ON
1152,45-08-13-276-014.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2328 ALLEN STREET,,No Parking Lot Present,
1153,45-08-13-251-001.000-017,R3,RESIDENTIAL,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2400 ARIZONA,,No Parking Lot Present,
1154,45-08-14-203-007.000-004,R2,RESIDENTIAL,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,2642 EAST 21ST PLACE,,,
1155,45-08-14-126-027.000-004,R2,RESIDENTIAL,2013/08/01,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2239 EAST 22ND PLACE,,,
1156,45-08-14-232-019.000-004,R2,RESIDENTIAL,2013/06/01,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2332 MARSHALLTOWN LANE,Yes,,
1157,45-08-14-233-007.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2301 MARSHALLTOWN LANE,Yes,,
1158,45-08-14-229-012.000-004,R2,RESIDENTIAL,2013/07/08,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2825 CENTRAL DRIVE,Yes,,
1159,45-08-14-228-010.000-004,R2,RESIDENTIAL,2013/09/24,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2817 CENTRAL AVENUE,Yes,,
1160,45-08-14-203-001.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2601 CENTRAL DRIVE,Yes,,
1161,45-08-11-351-036.000-004,R3,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,1988 MISSOURI STREET,,,Yes
1162,45-09-06-476-004.000-004,M1-1,MANUFACTURING,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,6009-11 EAST DUNES HIGHWAY,,No Parking Lot Present,
1163,45-08-11-380-042.000-004,R3,RESIDENTIAL,2013/07/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,2300 EAST 21ST AVENUE,,,
1164,45-05-32-376-021.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,6930 ASH AVENUE,Yes,,
1165,45-05-32-352-022.000-004,R1,RESIDENTIAL,2014/07/08,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,6722 BIRCH PLACE,Yes,,
1166,45-08-12-300-015.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,21ST AVE & CLAY,,,
1167,45-08-12-228-036.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,Yes,,Aetna,First District,Census Tract 115,,,1166 CASS STREET,Yes,,
1168,45-05-32-428-002.000-004,R1A,RESIDENTIAL,2014/07/23,,Occupied Structure,Excellent,Structure Present,,,,,Yes,Yes,,Yes,,,,,Yes,Yes,,,Yes,,Miller,First District,Census Tract 101,,,7915 HEMLOCK STREET,Yes,,
1169,45-09-06-435-007.000-004,R4,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Poor,Structure Present,Significant Structural Damage,Building Not Enclosed/Secure,Yes,,Yes,,,Yes,,,Yes,,,,,,,,Miller,First District,Census Tract 102.01,City of Gary,Yes,6138 EAST 6TH PLACE,Yes,,
1170,45-08-11-351-023.000-004,R3,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,1904 MISSOURI STREET,Yes,,
1171,45-09-07-130-036.000-004,R2,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Poor,Structure Present,No,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1150 GIBSON PLACE,Yes,,
1172,45-08-01-402-013.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Excellent,Structure Present,,,,,Yes,,,Yes,,,Yes,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,4240 EAST 5TH PLACE,Yes,,
1173,45-08-12-128-004.000-004,R4,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,3529 EAST 9TH AVENUE,,,Yes
1174,45-08-11-381-009.000-004,R3,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,,,Yes,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,2348 CENTRAL DRIVE,Yes,,
1175,45-08-12-204-006.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,4221 EAST 10TH AVENUE,Yes,,
1176,45-08-12-227-002.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,Yes,4401 EAST 10TH AVENUE,Yes,,
1177,45-09-05-451-002.000-004,B5-1,BUSINESS,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,752 HOBART STREET EST,,No Parking Lot Present,
1178,45-09-06-401-010.000-004,R2,RESIDENTIAL,2013/11/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,5706 EAST 5TH PLACE,,No Parking Lot Present,
1179,45-09-06-252-001.000-004,B3-1,BUSINESS,2014/07/24,,Occupied Structure,Fair,Structure Present,,,Yes,Yes,,,,,,,,,,,,,Yes,,Miller,First District,Census Tract 102.01,,,5900 EAST 3RD AVENUE,,,
1180,45-09-06-251-005.000-004,R2,RESIDENTIAL,2014/07/24,,Occupied Structure,Poor,Structure Present,No,Building Enclosed/Secure,,,,,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,Miller,First District,Census Tract 102.01,,,5632 EAST 3RD AVENUE,Yes,,
1181,45-08-11-379-009.000-004,R3,RESIDENTIAL,2013/05/18,http://locald.s3.amazonaws.com/upload-beta/8a340df0-87af-11e2-9485-c3fff44e7c8e/2013-5-18-2041-e-19th-pl.jpg,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Not Enclosed/Secure,,,,Yes,,Yes,,,Yes,,,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,2041 EAST 19TH PLACE,Yes,,
1182,45-08-11-351-018.000-004,R3,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,1965 CENTRAL DRIVE,,,
1183,45-08-12-300-011.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,1700 STATE STREET APPR,,No Parking Lot Present,
1184,45-08-11-304-010.000-004,R3,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,1823 MISSISSIPPI STREET,Yes,,
1185,45-08-12-279-007.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,4501 EAST 13TH PLACE,Yes,,
1186,45-09-05-326-011.000-004,R2,RESIDENTIAL,2014/07/24,,Vacant/Abandoned Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,6929 EAST 5TH AVENUE,Yes,,
1187,45-09-04-182-004.000-004,R1,RESIDENTIAL,2014/10/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,425-29 SOUTH SULLIVAN STREET,,No Parking Lot Present,
1188,45-08-01-426-024.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,Yes,,Yes,,,,,Miller,First District,Census Tract 102.01,,,4732 EAST 6TH AVENUE,Yes,,
1189,45-09-06-426-014.000-004,R2,RESIDENTIAL,2013/11/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,6030 MILLER AVENUE APPR,,No Parking Lot Present,
1190,45-09-05-506-002.000-004,R2,RESIDENTIAL,2014/07/24,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,6601-61 EAST DUNES HIGHWAY,,No Parking Lot Present,
1191,45-09-06-277-008.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Yes,,Miller,First District,Census Tract 102.01,,,349 HENRY STREET,Yes,,
1192,45-09-05-304-004.000-004,M1-1,MANUFACTURING,2014/07/24,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,Yes,,,,,,,,,,,,,Yes,,Miller,First District,Census Tract 102.01,,,6640 EAST DUNES HIGHWAY,,,
1193,45-09-05-327-014.000-004,R2,RESIDENTIAL,2014/07/24,,Occupied Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,7018 EAST 5TH PLACE,Yes,,
1194,45-09-05-326-009.000-004,R2,RESIDENTIAL,2014/07/24,,Occupied Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,6909 EAST 5TH AVENUE,Yes,,
1195,45-09-05-180-003.000-004,R2,RESIDENTIAL,2014/07/23,,Occupied Structure,Fair,Structure Present,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,317 MARION STREET,Yes,,
1196,45-09-04-183-006.000-004,R1,RESIDENTIAL,2014/10/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,437-41 SOUTH TIPPECANOE,,No Parking Lot Present,
1197,45-09-04-182-005.000-004,R1,RESIDENTIAL,2014/10/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,431-35 SOUTH SULLIVAN STREET,,No Parking Lot Present,
1198,45-09-06-277-009.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Yes,,Miller,First District,Census Tract 102.01,,,353 SOUTH HENRY STREET,Yes,,
1199,45-09-06-254-002.000-004,R2,RESIDENTIAL,2013/11/02,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,5607 EAST 3RD PLACE,Yes,,
1200,45-09-06-253-012.000-004,R2,RESIDENTIAL,2013/11/02,,Occupied Structure,Good,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,,,,,,,,Miller,First District,Census Tract 102.01,,,312 SOUTH HAMILTON STREET,Yes,,
1201,45-05-33-104-019.000-004,R2,RESIDENTIAL,2014/07/11,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,,,,,Yes,,,,,Miller,First District,Census Tract 101,,,1140 ST. JOSEPH STREET,Yes,,
1202,45-09-04-176-009.000-004,R1,RESIDENTIAL,2014/06/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,349-53 SHELBY STREET,,No Parking Lot Present,
1203,45-09-06-253-008.000-004,R2,RESIDENTIAL,2013/11/02,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,Yes,,,,Yes,,,Yes,,Miller,First District,Census Tract 102.01,,,5614 EAST 3RD PLACE,Yes,,
1204,45-08-14-101-036.000-004,R2,RESIDENTIAL,2013/08/01,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,1840-58 EAST 22ND PLACE,,,
1205,45-08-14-229-023.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2806 EAST 21ST PLACE,Yes,,
1206,45-05-32-304-003.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,6627 HEMLOCK AVENUE,Yes,,
1207,45-09-04-300-025.000-004,B5-1,BUSINESS,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,8401-87 MELTON,,No Parking Lot Present,
1208,45-09-06-476-009.000-004,M1-1,MANUFACTURING,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,6029-47 U.S. HIGHWAY 12,,No Parking Lot Present,
1209,45-09-06-278-013.000-004,R2,RESIDENTIAL,2013/11/02,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,300 SOUTH HUNTINGTON STREET,Yes,,
1210,45-09-06-276-020.000-004,R3,RESIDENTIAL,2014/07/24,,Occupied Structure,Good,Structure Present,,,,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,Miller,First District,Census Tract 102.01,,,6366 EAST 3RD AVENUE,Yes,,
1211,45-09-05-154-006.000-004,R2,RESIDENTIAL,2014/07/23,,Occupied Structure,Good,Structure Present,,,Yes,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,,Miller,First District,Census Tract 102.01,,,6531 EAST 3RD AVENUE,Yes,,
1212,45-09-04-176-024.000-004,R1,RESIDENTIAL,2014/10/23,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,358 SPENCER STREET APPR,,No Parking Lot Present,
1213,45-05-32-206-021.000-004,R2,RESIDENTIAL,2014/07/10,,Occupied Structure,Fair,Structure Present,,,Yes,Yes,,,,Yes,,Yes,,,,Yes,,,,,Miller,First District,Census Tract 101,,,7524 LOCUST AVENUE,Yes,,
1214,45-09-06-278-001.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,Miller,First District,Census Tract 102.01,,,301 SOUTH HOWARD STREET,Yes,,
1215,45-09-06-253-011.000-004,R2,RESIDENTIAL,2013/11/02,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,Yes,Yes,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,306 SOUTH HAMILTON STREET,Yes,,
1216,45-09-04-177-018.000-004,R1,RESIDENTIAL,2014/07/25,,Occupied Structure,Poor,Structure Present,No,Building Enclosed/Secure,Yes,,,,,Yes,,Yes,Yes,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,334 SOUTH SULLIVAN STREET,Yes,,
1217,45-09-05-151-022.000-004,R2,RESIDENTIAL,2014/07/23,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 102.01,,,6718 EAST 3RD AVENUE,Yes,,
1218,45-09-05-151-003.000-004,R2,RESIDENTIAL,2014/07/23,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,6410 EAST 3RD AVENUE,Yes,,
1219,45-05-31-459-034.000-004,R2,RESIDENTIAL,2014/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,88 SOUTH HANCOCK,,No Parking Lot Present,
1220,45-05-33-237-021.000-004,R5,RESIDENTIAL,2014/07/22,,Occupied Structure,Excellent,Structure Present,,,,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,Miller,First District,Census Tract 101,,,9432 INDIAN BOUNDARY,Yes,,
1221,45-08-14-126-002.000-004,R2,RESIDENTIAL,2013/11/01,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2001 MISSOURI STREET,,No Parking Lot Present,
1222,45-05-33-212-011.000-004,R2,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,,,Yes,Yes,,Yes,,,,,,Yes,Yes,,Yes,,Miller,First District,Census Tract 101,,,807 VERMILLION STREET,Yes,,
1223,45-05-31-457-009.000-004,R2,RESIDENTIAL,2014/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,241 HANCOCK STREET,,No Parking Lot Present,
1224,45-05-32-302-008.000-004,R1,RESIDENTIAL,2014/07/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,453 GRAND BOULEVARD,,No Parking Lot Present,
1225,45-08-12-102-007.000-004,R2,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1121-25 IDAHO STREET,,,
1226,45-09-04-126-019.000-004,R1,RESIDENTIAL,2014/07/25,,Vacant/Abandoned Structure,Dangerous,Structure Present,No,Building Not Enclosed/Secure,,,,,,,,,,,,,,,Yes,,Miller,First District,Census Tract 102.01,,,120 SPENCER STREET,,,
1227,45-08-11-379-024.000-004,R3,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2263 EAST 19TH PLACE,Yes,,
1228,45-09-04-476-011.000-004,R1,RESIDENTIAL,2014/10/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,9309 SUNRISE BOULEVARD,,No Parking Lot Present,
1229,45-05-33-152-016.000-004,R1,RESIDENTIAL,2014/07/11,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,8232 INDIAN BOUNDARY,Yes,,
1230,45-05-32-202-014.000-004,R2,RESIDENTIAL,2014/07/10,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,,,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7516 OAK AVENUE,Yes,,
1231,45-05-32-379-027.000-004,R1,RESIDENTIAL,2014/07/08,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,100 NORTH MONTGOMERY,Yes,,
1232,45-05-31-458-007.000-004,R2,RESIDENTIAL,2014/07/08,,Occupied Structure,Good,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,,,Yes,,,Yes,,Miller,First District,Census Tract 102.01,,,145 NORTH HAMILTON STREET,Yes,,
1233,45-05-33-452-015.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,8917-19 EAST DUNES HIGHWAY,,No Parking Lot Present,
1234,45-05-33-231-020.000-004,R2,RESIDENTIAL,2014/07/22,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,,,Yes,,Miller,First District,Census Tract 101,,,1066 WARRICK STREET,Yes,,
1235,45-09-06-354-012.000-004,B3-1,BUSINESS,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,City of Gary,,849-51 DECATUR STREET,,,
1236,45-09-04-426-002.000-004,R1,RESIDENTIAL,2014/07/25,,Occupied Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,9311 EAST 5TH AVENUE,Yes,,
1237,45-08-14-202-028.000-004,R2,RESIDENTIAL,2013/06/01,,Vacant/Abandoned Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2600 CENTRAL AVENUE,Yes,,
1238,45-08-12-255-038.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,Aetna,First District,Census Tract 115,,,4340 EAST 13TH AVENUE,Yes,,
1239,45-08-12-126-008.000-004,R4,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,3600-02 EAST 9TH AVENUE,Yes,,
1240,45-09-06-302-035.000-004,R2,RESIDENTIAL,2013/05/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,4900 MILLER AVENUE,,,
1241,45-09-06-402-005.000-004,R2,RESIDENTIAL,2013/11/05,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 102.01,,,5635 EAST 5TH PLACE,Yes,,
1242,45-08-12-178-008.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,3639 EAST 13TH AVENUE,Yes,,
1243,45-09-07-104-050.000-004,R2,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,4932 EAST 13TH AVENUE,Yes,,
1244,45-09-07-203-010.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1117 GREENE STREET,Yes,,
1245,45-08-11-380-040.000-004,R3,RESIDENTIAL,2013/07/27,,Occupied Structure,Excellent,Structure Present,,,,,,Yes,,Yes,,,,,,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,2240 EAST 21ST AVENUE,Yes,,
1246,45-08-11-351-021.000-004,R3,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,1985 CENTRAL DRIVE,Yes,,
1247,45-08-12-132-007.000-004,R2,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1103-05 UTAH STREET,,,Yes
1248,45-05-32-352-016.000-004,R1,RESIDENTIAL,2014/07/08,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,6600 BIRCH PLACE,Yes,,
1249,45-08-12-300-014.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,1800 NEW JERSEY STREET APPR,,No Parking Lot Present,
1250,45-09-07-205-013.000-004,R3,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,,,,Yes,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,1141 SOUTH HAMILTON STREET,Yes,,
1251,45-09-07-206-013.000-004,R3,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Fair,Structure Present,,,,Yes,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1141 HAMILTON PLACE,Yes,,
1252,45-05-32-428-001.000-004,R1A,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7905 HEMLOCK STREET,Yes,,
1253,45-08-01-405-017.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,4438 EAST 6TH PLACE,Yes,,
1254,45-09-05-329-005.000-004,R2,RESIDENTIAL,2014/07/24,,Occupied Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,7039 EAST 5TH PLACE,Yes,,
1255,45-08-11-453-002.000-004,R6,RESIDENTIAL,2013/07/07,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2401-2511 CENTRAL AVENUE,Yes,,
1256,45-08-14-306-030.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2625-27 ALABAMA STREET,,No Parking Lot Present,
1257,45-08-14-303-044.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2512-14 ILLINOIS STREET,,No Parking Lot Present,
